Datetime,cons_dakar,temperature,day_of_week,is_weekend,year,weekofyear,quarter,dayofyear,month,day,Heure,Date,is_ramadan,is_korite,is_tabaski,is_magal,is_gamou,jour_groupe,day_of_week_name,month_name,Saison de demande,precipitation
2025-01-01 01:00:00,480.7770340351399,22.2,2,0,2025,1,1,1,1,1,1,2025-01-01,0,0,0,0,0,2,Mercredi,Janvier,Bas,0.0
2025-01-01 02:00:00,463.5067497301615,22.1,2,0,2025,1,1,1,1,1,2,2025-01-01,0,0,0,0,0,2,Mercredi,Janvier,Bas,0.0
2025-01-01 03:00:00,448.37809337334784,22.0,2,0,2025,1,1,1,1,1,3,2025-01-01,0,0,0,0,0,2,Mercredi,Janvier,Bas,0.0
2025-01-01 04:00:00,420.53730320730034,22.0,2,0,2025,1,1,1,1,1,4,2025-01-01,0,0,0,0,0,2,Mercredi,Janvier,Bas,0.0
2025-01-01 05:00:00,419.0928626934013,22.0,2,0,2025,1,1,1,1,1,5,2025-01-01,0,0,0,0,0,2,Mercredi,Janvier,Bas,0.0
2025-01-01 06:00:00,411.6751242369001,22.15,2,0,2025,1,1,1,1,1,6,2025-01-01,0,0,0,0,0,2,Mercredi,Janvier,Bas,0.0
2025-01-01 07:00:00,416.0071397182837,22.3,2,0,2025,1,1,1,1,1,7,2025-01-01,0,0,0,0,0,2,Mercredi,Janvier,Bas,0.0
2025-01-01 08:00:00,378.3466264730849,22.15,2,0,2025,1,1,1,1,1,8,2025-01-01,0,0,0,0,0,2,Mercredi,Janvier,Bas,0.0
2025-01-01 09:00:00,381.7216923671658,22.0,2,0,2025,1,1,1,1,1,9,2025-01-01,0,0,0,0,0,2,Mercredi,Janvier,Bas,0.0
2025-01-01 10:00:00,376.3084567280706,22.0,2,0,2025,1,1,1,1,1,10,2025-01-01,0,0,0,0,0,2,Mercredi,Janvier,Bas,0.0
2025-01-01 11:00:00,380.0757298176864,22.0,2,0,2025,1,1,1,1,1,11,2025-01-01,0,0,0,0,0,2,Mercredi,Janvier,Bas,0.0
2025-01-01 12:00:00,356.91295097029763,21.8,2,0,2025,1,1,1,1,1,12,2025-01-01,0,0,0,0,0,2,Mercredi,Janvier,Bas,0.0
2025-01-01 13:00:00,347.0963807137784,21.6,2,0,2025,1,1,1,1,1,13,2025-01-01,0,0,0,0,0,2,Mercredi,Janvier,Bas,0.0
2025-01-01 14:00:00,377.0629602831178,21.8,2,0,2025,1,1,1,1,1,14,2025-01-01,0,0,0,0,0,2,Mercredi,Janvier,Bas,0.0
2025-01-01 15:00:00,361.13197981377016,22.0,2,0,2025,1,1,1,1,1,15,2025-01-01,0,0,0,0,0,2,Mercredi,Janvier,Bas,0.0
2025-01-01 16:00:00,354.0479227122859,21.5,2,0,2025,1,1,1,1,1,16,2025-01-01,0,0,0,0,0,2,Mercredi,Janvier,Bas,0.0
2025-01-01 17:00:00,352.4123685176963,21.0,2,0,2025,1,1,1,1,1,17,2025-01-01,0,0,0,0,0,2,Mercredi,Janvier,Bas,0.0
2025-01-01 18:00:00,376.0202665568221,21.6,2,0,2025,1,1,1,1,1,18,2025-01-01,0,0,0,0,0,2,Mercredi,Janvier,Bas,0.0
2025-01-01 19:00:00,404.2656897625262,22.2,2,0,2025,1,1,1,1,1,19,2025-01-01,0,0,0,0,0,2,Mercredi,Janvier,Bas,0.0
2025-01-01 19:30:00,421.73125150829634,22.6,2,0,2025,1,1,1,1,1,19,2025-01-01,0,0,0,0,0,2,Mercredi,Janvier,Bas,0.0
2025-01-01 20:00:00,441.5692242998092,23.0,2,0,2025,1,1,1,1,1,20,2025-01-01,0,0,0,0,0,2,Mercredi,Janvier,Bas,0.0
2025-01-01 20:30:00,459.8643416457261,23.5,2,0,2025,1,1,1,1,1,20,2025-01-01,0,0,0,0,0,2,Mercredi,Janvier,Bas,0.0
2025-01-01 21:00:00,466.4236153025643,24.0,2,0,2025,1,1,1,1,1,21,2025-01-01,0,0,0,0,0,2,Mercredi,Janvier,Bas,0.0
2025-01-01 21:30:00,467.96474848148296,24.1,2,0,2025,1,1,1,1,1,21,2025-01-01,0,0,0,0,0,2,Mercredi,Janvier,Bas,0.0
2025-01-01 22:00:00,482.0584101517034,24.2,2,0,2025,1,1,1,1,1,22,2025-01-01,0,0,0,0,0,2,Mercredi,Janvier,Bas,0.0
2025-01-01 22:30:00,477.6949882506988,25.1,2,0,2025,1,1,1,1,1,22,2025-01-01,0,0,0,0,0,2,Mercredi,Janvier,Bas,0.0
2025-01-01 23:00:00,476.4030471560191,26.0,2,0,2025,1,1,1,1,1,23,2025-01-01,0,0,0,0,0,2,Mercredi,Janvier,Bas,0.0
2025-01-01 23:30:00,464.7976345555233,26.0,2,0,2025,1,1,1,1,1,23,2025-01-01,0,0,0,0,0,2,Mercredi,Janvier,Bas,0.0
2025-01-02 00:00:00,485.3562664848859,26.0,3,0,2025,1,1,2,1,2,0,2025-01-02,0,0,0,0,0,2,Jeudi,Janvier,Bas,0.0
2025-01-02 01:00:00,468.41400821681367,25.5,3,0,2025,1,1,2,1,2,1,2025-01-02,0,0,0,0,0,2,Jeudi,Janvier,Bas,0.0
2025-01-02 02:00:00,428.7881326096323,25.0,3,0,2025,1,1,2,1,2,2,2025-01-02,0,0,0,0,0,2,Jeudi,Janvier,Bas,0.0
2025-01-02 03:00:00,382.61319035626497,25.0,3,0,2025,1,1,2,1,2,3,2025-01-02,0,0,0,0,0,2,Jeudi,Janvier,Bas,0.0
2025-01-02 04:00:00,346.5647909938449,25.0,3,0,2025,1,1,2,1,2,4,2025-01-02,0,0,0,0,0,2,Jeudi,Janvier,Bas,0.0
2025-01-02 05:00:00,349.05749819782113,25.0,3,0,2025,1,1,2,1,2,5,2025-01-02,0,0,0,0,0,2,Jeudi,Janvier,Bas,0.0
2025-01-02 06:00:00,348.7569880745235,25.0,3,0,2025,1,1,2,1,2,6,2025-01-02,0,0,0,0,0,2,Jeudi,Janvier,Bas,0.0
2025-01-02 07:00:00,372.9582378643706,24.55,3,0,2025,1,1,2,1,2,7,2025-01-02,0,0,0,0,0,2,Jeudi,Janvier,Bas,0.0
2025-01-02 08:00:00,382.07187179521367,24.1,3,0,2025,1,1,2,1,2,8,2025-01-02,0,0,0,0,0,2,Jeudi,Janvier,Bas,0.0
2025-01-02 09:00:00,355.9570341562626,23.55,3,0,2025,1,1,2,1,2,9,2025-01-02,0,0,0,0,0,2,Jeudi,Janvier,Bas,0.0
2025-01-02 10:00:00,376.36727251591367,23.0,3,0,2025,1,1,2,1,2,10,2025-01-02,0,0,0,0,0,2,Jeudi,Janvier,Bas,0.0
2025-01-02 11:00:00,368.87651490163336,23.0,3,0,2025,1,1,2,1,2,11,2025-01-02,0,0,0,0,0,2,Jeudi,Janvier,Bas,0.0
2025-01-02 12:00:00,401.4671346191566,23.0,3,0,2025,1,1,2,1,2,12,2025-01-02,0,0,0,0,0,2,Jeudi,Janvier,Bas,0.0
